,sentence
63396,a bit exploitative but also nicely done  morally alert 
63397,tendentious 
63398,to be cherished 
63399,despite a fairly slow paced  almost humdrum approach to character development  still manages at least a decent attempt at meaningful cinema 
63400,second  what s with all the shooting  
63401,unimpeachable 
63402,stitched together from stock situations and characters 
63403,s a reason why halftime is only fifteen minutes long  
63404,may be burns s strongest film since the brothers mcmullen 
63405,perfect performance 
63406,a james bond series for kids 
63407,s got as potent a topic as ever here 
63408,would do well to cram earplugs in their ears and put pillowcases over their heads for 87 minutes 
63409,satisfyingly 
63410,that it does afford 
63411,the only way to tolerate this insipid  brutally clueless film 
63412,turbulent selfdiscovery 
63413,trotting out threadbare standbys 
63414,does so with an artistry that also smacks of revelation 
63415,lost some of the dramatic conviction that underlies the best of comedies 
63416,this is a very ambitious project for a fairly inexperienced filmmaker  but good actors  good poetry and good music help sustain it 
63417,but also intriguing and honorable  
63418,really need a remake of  charade 
63419,in laramie following the murder of matthew shepard 
63420,s much to recommend the film 
63421,rashomonfordipsticks tale  
63422,as inept 
63423,unassuming  subordinate 
63424,a lovely film  elegant  witty and beneath a prim exterior unabashedly romantic  hugely enjoyable in its own right though not really faithful to its source s complexity  
63425,an artist of 90plus years taking the effort to share his impressions of life and loss and time and art with us 
63426,hossein 
63427,beautifully shot 
63428,is wonderful 
63429,sentimental ooze 
63430,primitive animated special effects 
63431,no explanation or even 
63432,an irresistible blend of warmth and humor 
63433,as the mediterranean sparkles 
63434,with its leaden acting  dull exposition and telegraphed  surprises 
63435,truly wonderful 
63436,strongminded 
63437,into some univaclike script machine 
63438,cold 
63439,is a strength of a documentary to disregard available bias  especially 
63440,feel good 
63441,an effective portrait of a life in stasis  
63442,only pain 
63443,somber earnestness in the new adaptation of the cherry orchard 
63444,after a while  hoffman s quirks and mannerisms  particularly his penchant for tearing up on cue  things that seem so real in small doses  become annoying and artificial  
63445,insulting 
63446,a temporal inquiry 
63447,how tedious 
63448,a zombie movie in every sense of the word  mindless  lifeless  meandering  loud  painful  obnoxious  
63449,sufficient 
63450,adrenaline boost 
63451,is so different from the apple and so striking that it can only encourage us to see samira makhmalbaf as a very distinctive sensibility  working to develop her own film language with conspicuous success 
63452,of happy 
63453,the great minds of our times 
63454,mr polanski is in his element here  alone  abandoned  but still consoled by his art  which is more than he has ever revealed before about the source of his spiritual survival  
63455,gives a superb performance 
63456,deny its seriousness and quality 
63457,coldhearted curmudgeon 
63458,feels so distant you might as well be watching it through a telescope 
63459, land beyond time is an enjoyable big movie primarily because australia is a weirdly beautiful place  
63460,heartwarming 
63461,the pain  loneliness and insecurity of the screenwriting process are vividly and painfully brought to slovenly life in this selfdeprecating  biting and witty feature written by charlie kaufman and his twin brother  donald  and directed by spike jonze  
63462,like the hanks character  he s a slow study  the action is stilted and the tabloid energy embalmed  
63463,is scott s convincing portrayal of roger the sad cad that really gives the film its oomph  
63464,watching these eccentrics is both inspiring and pure joy  
63465,a particularly nightmarish fairytale 
63466,something more beautiful than either of those films 
63467,taken outside the context of the current political climate  see  terrorists are more evil than ever   
63468,moving and stark reminder 
63469,do nt really care too much about this love story  
63470,comedy and melodrama 
63471,by turns touching  raucously amusing  uncomfortable  and  yes  even sexy 
63472,its courage  ideas  technical proficiency and great acting 
63473,miscalculates badly 
63474,is notable for its stylistic austerity and forcefulness 
63475,numbing experience 
63476,he respects the material without sentimentalizing it 
63477,a hugely rewarding experience that s every bit as enlightening  insightful and entertaining as grant s two best films  four weddings and a funeral and bridget jones s diary  
63478,of no erotic or sensuous charge 
63479,throwing out so many red herrings  so many false scares  
63480,of shape 
63481,is about quiet  decisive moments between members of the cultural elite as they determine how to proceed as the world implodes 
63482,many flaws 
63483,a superfluous sequel  plagued by that old familiar feeling of  let s get this thing over with   
63484,young romantics 
63485,is a festival film that would have been better off staying on the festival circuit 
63486,ashamed in admitting that my enjoyment came at the expense of seeing justice served  even if it s a dish that s best served cold 
63487,by a set of heartfelt performances 
63488,insurance 
63489,striking villains 
63490,does nt offer audiences any way of gripping what its point is  or even its attitude toward its subject  
63491,much of the lady and the duke is about quiet  decisive moments between members of the cultural elite as they determine how to proceed as the world implodes  
63492,better 
63493,it s often overwritten  with a surfeit of weighty revelations  flowery dialogue  and nostalgia for the past and roads not taken  
63494, you re in luck  
63495,full of cheesy dialogue 
63496,can usually be traced back to the little things 
63497,as clever 
63498,if you like an extreme actionpacked film with a hint of humor 
63499,between deadpan comedy and heartbreaking 
63500,the movie s narrative hook is way too muddled to be an effectively chilling guilty pleasure  
63501,it s an exhilarating place to visit  this laboratory of laughter  
63502,is sickly entertainment at best and minddestroying cinematic pollution at worst  
63503,an almost constant mindset of suspense 
63504,are so oldfashioned 
63505,of admission for the ridicule factor 
63506,skillfully 
63507,flaws  but also 
63508,that examines many different ideas from happiness to guilt in an intriguing bit of storytelling 
63509,one of those films that started with a great premise and then just fell apart  
63510,there would be a tossup between presiding over the end of cinema as we know it and another night of delightful hand shadows  
63511,the secret s eventual discovery 
63512,easier to sit through than most of jaglom s selfconscious and gratingly irritating films 
63513,gives itself the freedom to feel contradictory things  
63514,holds promise  
63515,comes along to remind us of how very bad a motion picture can truly be  
63516,unwieldy cast 
63517,the horror fan 
63518,ride  with jawdropping action sequences  striking villains  a gorgeous color palette  astounding technology  stirring music and a boffo last hour 
63519,is the kind of subject matter that could so easily have been fumbled by a lesser filmmaker 
63520,a hit  andmiss affair  consistently amusing but not as outrageous or funny as cho may have intended or as imaginative as one might have hoped  
63521,to reduce everything he touches to a shrill  didactic cartoon 
63522,is the gabbiest giantscreen movie ever  bogging down in a barrage of hype 
63523,careerdefining revelation 
63524,with bracing intelligence and a vision both painterly and literary 
63525,a british cast 
63526,the bombastic selfglorification of other feelgood fiascos like antwone fisher or the emperor s club any time 
63527,just so the documentary will be over 
63528,enjoyable choice 
63529,required genuine acting from ms spears 
63530,knows how to make our imagination wonder  
63531,cold  sterile and lacking 
63532,coupling disgracefully written dialogue with flailing bodily movements that substitute for acting  circuit is the awkwardly paced soap operaish story  
63533,congrats disney on a job well done 
63534,take you places you have nt been  and also places you have 
63535,is too picture postcard perfect  too neat and new pinlike  too obviously a recreation to resonate  
63536,the film above anything sandler 
63537,proving once again ego does nt always go hand in hand with talent 
63538,pale imitation 
63539, russell  makes good b movies  the mask  the blob   and the scorpion king more than ably meets those standards  
63540,cheapening it 
63541,it would nt have taken the protagonists a full hour to determine that in order to kill a zombie you must shoot it in the head 
63542,there must be an audience that enjoys the friday series  but i would nt be interested in knowing any of them personally  
63543,a terrible adaptation of a play that only ever walked the delicate tightrope between farcical and loathsome 
63544,a bittersweet drama about the limbo of grief and how truthtelling 
63545,uniquely sensual 
63546,when the screenwriter responsible for one of the worst movies of one year directs an equally miserable film the following year  you d have a hard time believing it was just coincidence  
63547,of all those famous moments 
63548,the rollicking dark humor so necessary 
63549,does nt offer much in terms of plot or acting  
63550,the characters are paper thin and 
63551,slapping its target audience in the face 
63552,nail the spiritcrushing ennui of denuded urban living without giving in to it 
63553,clever ideas and 
63554,we ve seen the hippieturnedyuppie plot before  but there s an enthusiastic charm in fire that makes the formula fresh again 
63555,gripping drama  
63556,a man whose engaging manner and flamboyant style made him a truly largerthanlife character 
63557,an audience full of teenagers fixating on its body humor and reinforcement of stereotypes 
63558, you ll cheer  
63559,a stylish exercise in revisionism whose point 
63560,a cheap thriller 
63561,a sensitive  moving 
63562,penned by a man who has little clue about either the nature of women or of friendship  
63563,the logic 
63564,worth catching 
63565,s not like having a real film of nijinsky 
63566,an oddly winning portrayal of one 
63567,just as expectant of an adoring  widesmiling reception 
63568,a stale  overused cocktail 
63569,who might enjoy this 
63570,romance  tragedy and even silentmovie comedy 
63571,his wife look so bad in a major movie 
63572,that pollyana would reach for a barf bag 
63573,with their fathers 
63574,a huge disappointment coming  
63575,ruined by amateurish writing and acting 
63576,there s apparently nothing left to work with  sort of like michael jackson s nose  
63577,an insane comic undertaking 
63578,about the people who live in them  who have carved their own comfortable niche in the world and have been kind enough to share it 
63579,onesided documentary offers simplistic explanations to a very complex situation  
63580,fast and funny 
63581,unadulterated thrills or genuine laughs 
63582,likable  but just as often it s meandering  low on energy  and too eager to be quirky at moments when a little oldfashioned storytelling would come in handy  
63583,the surprisingly shoddy makeup work 
63584,this arrogant richard pryor wannabe 
63585,one of the worst films of the summer 
63586,it s not just a feelgood movie  it s a feel movie  
63587,is masterful 
63588,has little wit and no surprises  
63589,sublimely lofty 
63590, it s equally distasteful to watch him sing the lyrics to  tonight   
63591, and educational  
63592,20 years apart 
63593,rates as an exceptional thriller  
63594, frailty  starts out like a typical bible killer story  but it turns out to be significantly different  and better  than most films with this theme  
63595,and it is nt that funny  
63596,it ll probably be in video stores by christmas  and it might just be better suited to a night in the living room than a night at the movies 
63597, a  soulless 
63598, i d want something a bit more complex than we were soldiers to be remembered by  
63599,offers much to absorb and even more to think about after the final frame 
63600,is that it jams too many prefabricated story elements into the running time  
63601,that clever angle 
63602,a fascinating profile of a deeply humanistic artist who  in spite of all that he s witnessed  remains surprisingly idealistic 
63603,star 
63604,an affectionate 
63605,for its logical loopholes  which fly by so fast there s no time to think about them anyway 
63606,you do nt want to think too much about what s going on 
63607,nothing in it to engage children emotionally 
63608,than an amiable but unfocused bagatelle that plays like a looselyconnected string of actingworkshop exercises 
63609, so it s not a brilliant piece of filmmaking  but it is a funny  sometimes hilarious  comedy with a deft sense of humor about itself  a playful spirit and a game cast  
63610,is nicely shot  welledited 
63611,discovery and humor between chaplin and kidman 
63612,fret 
63613,fashion a brazillike  hyperreal satire 
63614,as decent dramaaction flick 
63615,with impressive results 
63616,takes a fresh and absorbing look at a figure whose legacy had begun to bronze  
63617,as naturally charming as it needs to be 
63618,is dazzling 
63619,ultimate 
63620,touches to a shrill  didactic cartoon 
63621,simultaneously heartbreaking and very funny 
63622,piano 
63623,have a whale of a good time  
63624,quickly wears out its limited welcome 
63625,rushed  slapdash  sequelforthesake  ofasequel 
63626,these selfstyled athletes have banged their brains into the ground so frequently 
63627,mixedup films 
63628,that feels as though it s trying to set the women s liberation movement back 20 years 
63629,implicitly 
63630,exciting and wellpaced  
63631,is also elevated by it  the kind of movie that you enjoy more because you re one of the lucky few who sought it out  
63632,quietly moving 
63633,succeeds in entertaining 
63634,my eyelids  getting 
63635,you ve spent the past 20 minutes looking at your watch 
63636,a straightshooting family film which awards animals the respect they 
63637,rejected 
63638,is painterly 
63639,s a very tasteful rock and roll movie 
63640,squirming in their seats 
63641,well done 
63642,on its own  it s not very interesting  
63643,is a horrible movie  
63644,i could not stand them 
63645,ver wiel s 
63646,the  ick  
63647,serves as a paper skeleton for some very good acting  dialogue  
63648,leaves you giddy 
63649,talent 
63650,in a big corner office in hell  satan is throwing up his hands in surrender  is firing his rd people  and has decided he will just screen the master of disguise 247  
63651,about tattoos 
63652,there is nothing in it to engage children emotionally 
63653,care what kind of sewage they shovel into their mental gullets to simulate sustenance 
63654,in 1958 brooklyn 
63655,of the most depressing moviegoing experiences i can think of 
63656,the passion  creativity  and fearlessness of one of mexico s most colorful and controversial artists  
63657,a consummate actor 
63658,bad mannered  ugly and destructive little  
63659,s superficial and unrealized 
63660,intimate and socially encompassing 
63661,banged their brains 
63662,are immaculate  with roussillon providing comic relief 
63663,giggling at the absurdities and inconsistencies is part of the fun  
63664,to have been modeled on the worst revengeofthenerds clichés the filmmakers could dredge up 
63665,of surprises 
63666, dramatically satisfying heroine 
63667,ghetto 
63668,the gags are puerile  
63669,a film that begins as a seven ripoff  only to switch to a mix of the shining  the thing  and any naked teenagers horror flick from the 1980s 
63670,delight 
63671,master of disguise runs for only 71 minutes and feels like three hours  
63672,hopkinsrock collision 
63673,this is nt worth sitting through 
63674,why human beings long for what they do nt have 
63675,strangely impersonal and abstract 
63676,a video helmer 
63677,happens that tells you there is no sense 
63678,might not seem like the proper cup of tea 
63679,the movie is certainly easy to watch  
63680,try to surprise us with plot twists 
63681,coral reef adventure is a heavyweight film that fights a good fight on behalf of the world s endangered reefs 
63682,skip 
63683,crudup s anchoring performance 
63684,a rehash 
63685,to a biting satire that has no teeth 
63686,comes out looking like something wholly original 
63687,unremittingly ugly 
63688,beautifully crafted 
63689,enjoys 
63690,every turn of elizabeth berkley s flopping dolphingasm 
63691,that could so easily have been fumbled by a lesser filmmaker 
63692,decidedly unoriginal 
63693,the words  radical  or  suck  
63694,hard to imagine anybody ever being  in the mood  to view a movie as harrowing and painful as the grey zone 
63695,a little more intensity and a little less charm would have saved this film a world of hurt  
63696,s mostly a pleasure to watch  
63697,his greatest triumph 
63698,how much they engage and even touch us 
63699,this strenuously unconventional movie 
63700,the exotic surface  and exotic dancing  
63701,a frustrating  tweener  
63702,as important as humor 
63703,enthrall 
63704, though  there is a really cool bit  the movie s conception of a futureworld holographic librarian  orlando jones  who knows everything and answers all questions  is visually smart  cleverly written  and nicely realized  
63705,very very strong  b  
63706,dramatized 
63707,the year s greatest adventure  and jackson s limited but enthusiastic adaptation has made literature literal without killing its soul  a feat any thinking person is bound to appreciate 
63708,under the skin of her characters 
63709,fresh view 
63710,the movie bogs down in insignificance  saying nothing about kennedy s assassination and revealing nothing about the pathology it pretends to investigate  
63711,ll find yourself wishing that you and they were in another movie  
63712,right ways 
63713,is competent 
63714,with no aspirations 
63715,operatic 
63716,tender hug 
63717,beautiful stars 
63718,unhappy at the prospect of the human race splitting in two 
63719,another shameless attempt 
63720,despite bearing the paramount imprint  it s a bargainbasement european pickup  
63721,overblown 
63722,nicolas cage is nt the first actor to lead a group of talented friends astray  and 
63723,a muddled limp biscuit of a movie  a vampire soap opera that does nt make much 
63724,maudlin ending 
63725,be like trying to eat brussels sprouts 
63726,it is notable for its stylistic austerity and forcefulness 
63727, ke burstein 
63728,well made 
63729,succeeds through sincerity 
63730,warmth and humor 
63731,failed jokes  twitchy acting  
63732,the most complex  generous and subversive artworks 
63733,an ungainly movie 
63734,sadistic bike flick 
63735,the milieu is wholly unconvincing  and 
63736,a sleepinducingly slowpaced crime drama with clumsy dialogue  heavyhanded phoneyfeeling sentiment  and an overlyfamiliar set 
63737,built for controversy  
63738,in a sick  twisted sort of way 
63739,great combination act 
63740,is duly impressive in imax dimensions  
63741,with cloying messages and irksome characters 
63742,pleasing way 
63743,all awkward 
63744,has become apparent that the franchise s best years are long past  
63745,skip the film and buy the philip glass soundtrack cd 
63746,star script 
63747,terrific casting and solid execution give all three stories life  
63748,the film s messages of tolerance and diversity are nt particularly original 
63749,s hard to believe these jokers are supposed to have pulled off four similar kidnappings before 
63750, hardhitting documentary  
63751,pair that with really poor comedic writing  and you ve got a huge mess  
63752,ingenious and often 
63753,merely pretentious  
63754,has a pleasing way with a metaphor  
63755,went back to newcastle  the first half of gangster no 1 drips with style and  at times  blood 
63756,ladles on the local flavor with a hugely enjoyable film about changing times  clashing cultures and the pleasures of a wellmade pizza 
63757,a glib but bouncy bit of sixtiesstyle slickness in which the hero might wind up caught but the audience gets pure escapism  
63758,delightful stimulus 
63759,which might have been called freddy gets molested by a dog  
63760,humor wry 
63761,with a tone as variable as the cinematography 
63762,these women are spectacular 
63763,costars 
63764,to stand out as particularly memorable or even all that funny 
63765,intricate  intimate and intelligent journey 
63766,lets her character become a caricature  not even with that radioactive hair 
63767,modest  straightahead standards 
63768,in modern alienation 
63769,a sense of childhood imagination 
63770,leave it to the french to truly capture the terrifying angst of the modern working man without turning the film into a cheap thriller  a dumb comedy or a sappy melodrama 
63771,tearstained 
63772,falling 
63773,innocent and 
63774,with weak dialogue and biopic 
63775,her welcome in her most charmless performance 
63776,one terrific story with lots of laughs 
63777,stylized swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters 
63778,looks like he s not trying to laugh at how bad 
63779,more grueling and 
63780,that s neither original nor terribly funny 
63781,transcends the boymeetsgirl posturing of typical love stories  
63782,give a backbone to the company 
63783,the film is like sitting in a downtown café  overhearing a bunch of typical latetwentysomethings natter on about nothing  and desperately wishing you could change tables  
63784,superior  
63785,a depraved  incoherent  instantly disposable piece 
63786,oldfashioned but emotionally stirring adventure tale 
63787,its rather slow beginning 
63788,serious and thoughtful  
63789,is more engaging than the usual fantasies hollywood produces 
63790,but here s a movie about it anyway  
63791,a time machine  a journey back to your childhood  
63792,the difference between cho and most comics is that her confidence in her material is merited  
63793,were made for the palm screen 
63794,the film has a laundry list of minor shortcomings  but 
63795,sits in the place where a masterpiece should be 
63796,enough vices to merit its 103minute length 
63797,a really solid woody allen film 
63798,leading to a tragedy which is somehow guessable from the first few minutes  maybe because it echoes the by now intolerable morbidity of so many recent movies 
63799,always looks good 
63800,preposterousness 
63801,although it starts off so bad that you feel like running out screaming  it eventually works its way up to merely bad rather than painfully awful  
63802,out of character and logically porous action set 
63803,lowbudget and tired 
63804,muddled drama 
63805,s left of his passe  chopsocky glory 
63806,unusually tame 
63807,markedly inactive 
63808,that keeps you guessing at almost every turn 
63809,the possible exception of elizabeth hurley s breasts 
63810,all movie long  city by the sea swings from one approach to the other  but in the end  it stays in formula  which is a waste of de niro  mcdormand and the other good actors in the cast  
63811,one of those unassuming films that sneaks up on you and stays with you long after you have left the theater  
63812,this forgettable effort 
63813,to even categorize this as a smutty guilty pleasure 
63814,weaver and lapaglia are both excellent  in the kind of lowkey way that allows us to forget that they are actually movie folk  
63815,about the plight of american indians in modern america 
63816,historically significant 
63817,wrong on both counts 
63818,noble failure  
63819,overused 
63820,a bland animated sequel that 
63821,no sense of pride or shame 
63822,insultingly unbelievable final act 
63823,a visual spectacle full of stunning images and effects  
63824,paintbynumbers picture 
63825,of pure misogynist evil 
63826,the production is suitably elegant 
63827,that frenetic spectacle  on the tv show  
63828,huge action sequence 
63829,is never especially clever and often is rather pretentious 
63830,the hardy spirit 
63831,a chilling tale of one of the great crimes of 20th century france  the murder of two rich women by their servants in 1933  
63832,the emotion or timelessness of disney s great past  or even that of more recent successes such as  mulan  or  tarzan 
63833,the broiling sun 
63834,inherent in the mixture of bullock bubble and hugh goo 
63835,for drawing wrenching performances from his actors  improvised over many months  and for conveying the way tiny acts of kindness make ordinary life survivable 
63836, the answer is clear  not easily and  in the end  not well enough  
63837,sloppy slapstick 
63838,he s a charismatic charmer likely to seduce and conquer  
63839,adventure story and history lesson 
63840,happens to be good 
63841,too full 
63842,comes to resemble the kind of softcore twaddle you d expect to see on showtime s  red shoe diaries 
63843,wellcrafted psychological study 
63844,girls ca nt swim represents an engaging and intimate first feature by a talented director to watch  and it s a worthy entry in the french comingofage genre  
63845,virtually impossible 
63846,devolves into the derivative  leaning on badlyrendered cgi effects  
63847,stalls in its lackluster gear of emotional blandness 
63848,be able to appreciate the wonderful cinematography and naturalistic acting 
63849,painfully forced  
63850,offers flickering reminders of the ties that bind us  
63851,might turn on many people to opera  in general 
63852,exit sign 
63853,has the rare capability to soothe and break your heart with a single stroke 
63854,matter how much he runs around and acts like a doofus 
63855,does nt match his ambition 
63856,remain curious about each other against all odds 
63857,schticky chris rock and stolid anthony hopkins  who seem barely in the same movie 
63858,all the movie s narrative gymnastics ca nt disguise the fact that it s inauthentic at its core and that its story just is nt worth telling  
63859,fest of selfcongratulation between actor and director that leaves scant place for the viewer 
63860,in luck 
63861,soderbergh s solaris is a gorgeous and deceptively minimalist cinematic tone poem  
63862,the story is bogus 
63863,if it were nt such a clever adaptation of the bard s tragic play 
63864,a deftly entertaining film 
63865,charlie hunnam has the twinkling eyes  repressed smile and determined face needed to carry out a dickensian hero  
63866,such a lousy way  complete with some of the year s  unintentionally  funniest moments  that it s impossible to care 
63867,the most notable observation is how long you ve been sitting still 
63868,for kids or their parents 
63869,has plenty of laughs  
63870,enjoyably overthetop 
63871, a delightfully unpredictable  hilarious comedy with wonderful performances that tug at your heart in ways that utterly transcend gender labels  
63872,occasionally inspired dialogue bits 
63873, the movie is a disaster  
63874,remarkable and memorable 
63875,spiced with the intrigue of academic skullduggery and politics  
63876,everyone  especially movie musical fans  has been hoping for 
63877,quiet  decisive moments between members of the cultural elite 
63878,is a nonstop hoot 
63879,a marvelous performance by allison lohman 
63880,pleasant enough  and 
63881,s an ambitious film 
63882,goes downhill 
63883,returning to one anecdote for comparison  the cartoon in japan that gave people seizures 
63884,bright 
63885,a bad rock concert 
63886, overmanipulative hollywood practices 
63887,it s potentially just as rewarding 
63888,tragic deaths 
63889,that tells stories that work  is charming  is moving 
63890,that fails on so many levels 
63891,audiencepleaser 
63892,a sappy  preachy one at that 
63893,this would be a worthy substitute for naughty children s stockings 
63894,we ve seen it all before in one form or another 
63895,it goes off the rails in its final 10 or 15 minutes 
63896,the passion  creativity  and fearlessness of one of mexico s most colorful and controversial artists  a captivating drama that will speak to the nonconformist in us all 
63897,what might have emerged as hilarious lunacy in the hands of woody allen or 
63898,influence 
63899,reverberates throughout this film  whose meaning and impact is sadly heightened by current world events 
63900,excellent latin actors of all ages 
63901,alas  getting there is not even half the interest  
63902,have a freshness and modesty that transcends their predicament 
63903,its most glaring 
63904,might be wishing for a watch that makes time go faster rather than the other way around  
63905,kinnear s performance is a careerdefining revelation  
63906,are well worth revisiting as many times as possible 
63907,the only thing i laughed at were the people who paid to see it  
63908,the merchantivory team continues to systematically destroy everything we hold dear about cinema  only now it s begun to split up so that it can do even more damage  
63909,would not likely be so stupid as to get 
63910,engaging enough to keep you from shifting in your chair too often 
63911,comprehend the chasm of knowledge that s opened between them 
63912,s most thoughtful films about art  ethics  and the cost of moral compromise 
63913, jeff s  gorgeous  
63914,that holds up well after two decades 
63915,a darkaspitch comedy that frequently veers into corny sentimentality  probably 
63916,with maggots crawling on a dead dog 
63917,the film rehashes several old themes and is capped with pointless extremes  
63918,a powerful look 
63919,strip it of all its excess debris  and you d have a 90minute  fourstar movie  
63920,classic text 
63921,a banal  virulently unpleasant excuse for a romantic comedy 
63922,female audience members drooling over michael idemoto as michael 
63923,just honest enough to provide the pleasures of a slightly naughty  justaboveaverage off  broadway play 
63924,socalled  comedy  
63925,has done his homework and 
63926,since dahmer resorts to standard slasher flick thrills when it should be most in the mind of the killer  it misses a major opportunity to be truly revelatory about his psyche  
63927,reggio and glass put on an intoxicating show  
63928,for following up a delightful  wellcrafted family film with a computergenerated cold fish 
63929,i found the ring moderately absorbing  largely for its elegantly colorful look and sound  
63930,a plot that s just too boring and obvious 
63931,tortured husband 
63932,is its personable  amusing cast 
63933, it finds a nice rhythm  
63934,smart  not cloying 
63935,huppert and girardot give performances of exceptional honesty  
63936,an earnest  roughshod document 
63937,imaginative filmmaking 
63938,the film s hero is a bore and 
63939,cattaneo reworks the formula that made the full monty a smashing success  but neglects to add the magic that made it all work  
63940,maelstrom is strange and compelling  engrossing and different  a moral tale with a twisted sense of humor  
63941,an acidic allmale all about eve 
63942,totally past his prime 
63943,the recording sessions are intriguing  and 
63944,dream of 
63945,should not be missed  
63946,of sophisticated intrigue and humanscale characters 
63947,a powerful though flawed movie  guaranteed to put a lump in your throat while reaffirming washington as possibly the best actor working in movies today 
63948,ll love it 
63949,a fairly harmless but ultimately lifeless featurelength afterschool special 
63950,said  except  film overboard  
63951,cagney s  top of the world  
63952,succumb to appearing in this junk that s tv sitcom material at best 
63953,the kneejerk misogyny 
63954,as some of the recent hollywood trip tripe 
63955, and room noise 
63956,the poor acting 
63957,dehumanizing and egodestroying 
63958,does nt mean you have to check your brain at the door 
63959,of good actors 
63960,of lurid melodrama 
63961, honest  and enjoyable comedydrama 
63962,nails hard 
63963,the characters  are paperthin  and their personalities undergo radical changes when it suits the script  
63964, prepackaged julia roberts wannabe 
63965,occasionally horrifying but often inspiring 
63966,hates its characters 
63967,to be a wacky  screwball comedy 
63968,genres that just does nt work 
63969,sick 
63970,a tired  talky feel 
63971,there is only so much baked cardboard i need to chew  
63972,moving and vibrant  
63973,should have stayed there 
63974,should come with the warning  for serious film buffs only 
63975,more entertaining  
63976,chicken barely give a thought to the folks who prepare and deliver it 
63977,a positive impression 
63978,eccentricities that are attached to the concept of loss 
63979,is he has no character  loveable or otherwise  
63980,a jawdroppingly beautiful work 
63981,too little 
63982,tough pill to swallow 
63983,a cleareyed chronicle 
63984,s1m0ne s satire is not subtle 
63985,is fresh to say about growing up catholic or  really  anything 
63986,s affecting  amusing  sad and reflective  
63987,returns to narrative filmmaking with a visually masterful work of quiet power  
63988,the soulful gravity 
63989,lux  now in her eighties  does a great combination act as narrator  jewish grandmother and subject  taking us through a film that is part biography  part entertainment and part history  
63990,confuses its message with an ultimate desire to please  and contorting itself into an idea of expectation is the last thing any of these three actresses  nor their characters  deserve  
63991,a dark  quirky road movie that constantly defies expectation 
63992,surprisingly decent flick 
63993,twohy s a good yarnspinner 
63994,rigid 
63995,lazy filmmaking  with the director taking a handsoff approach when he should have shaped the story to show us why it s compelling  
63996,fresh  sometimes funny  and 
63997,sheridan seems terrified of the book s irreverent energy  and scotches most of its élan  humor  bile  and irony  
63998,this is a movie that refreshes the mind and spirit along with the body 
63999,that will strike a chord with anyone who s ever 
64000,a real winner 
64001,headturner 
64002,is just as boring and as obvious 
64003,to sustain interest for the full 90 minutes  especially with the weak payoff 
64004,it s no lie  big fat liar is a real charmer 
64005,a film really has to be exceptional to justify a three hour running time  and this is nt  
64006,this exciting new filmmaker has brought to the screen 
64007,its hackneyed and meanspirited storyline with cardboard characters and performers 
64008,a timely look back at civil disobedience  antiwar movements and the power of strong voices  
64009,wanting to abandon the theater 
64010,bring to imax 
64011,to recovering from its demented premise 
64012,littered with trenchant satirical jabs at the peculiar egocentricities of the acting breed 
64013,daringly perceptive  taut  piercing and feisty  biggie and tupac is undeniably subversive and involving in its bold presentation  
64014,director michael cacoyannis displays with somber earnestness in the new adaptation of the cherry orchard 
64015, wild ride  
64016,this fascinating portrait 
64017,emotionally distant piece 
64018,is rote drivel aimed at mom and dad s wallet  
64019,right inside the massive waves that lifts blue crush into one of the summer s most pleasurable movies 
64020,freshfaced  bighearted and frequently 
64021,film that leaves you scratching your head in amazement over the fact that so many talented people could participate in such an illadvised and poorly 
64022,empire  lacks in depth 
64023,i can tell you that there s no other reason why anyone should bother remembering it  
64024,softporn em powerment 
64025,blue crush thrillingly uses modern technology to take the viewer inside the wave  
64026,controlaltdelete simone as quickly as possible 
64027,neither the funniest film that eddie murphy nor robert de niro has ever made 
64028,to lift the spirits of the whole family 
64029,stilettostomps the life out 
64030,exactly wrong 
64031, passion  and genius 
64032,you wrong on both counts 
64033,might as well be watching it through a telescope 
64034,rhapsodic 
64035,schlocky horroraction hybrid 
64036,right actors 
64037,the murder 
64038,delicately calibrated in tone 
64039,tiresome cliché 
64040,passiveaggressive 
64041,sophisticated performance 
64042,needs more impressionistic 
64043,dramatic punch 
64044,a firstrate cast 
64045,riveting memories 
64046,did nt smile 
64047,kidman has become one of our best actors 
64048,trite and overused 
64049,a lot more dimensional and complex than its sunny disposition 
64050,her performance moves between heartbreak and rebellion as she continually tries to accommodate to fit in and gain the unconditional love she seeks  
64051,the characters are paper thin and the plot is so cliched and contrived that it makes your least favorite james bond movie seem as cleverly plotted as the usual suspects 
64052,in which an ominous  pervasive  and unknown threat lurks just below the proceedings and adds an almost constant mindset of suspense 
64053,you ve endured a long workout without your pulse ever racing 
64054,to be a whole lot scarier than they are in this tepid genre offering 
64055,a disappointment for a movie that should have been the ultimate imax trip  
64056,will earn her share of the holiday box office pie  although this movie makes one thing perfectly clear 
64057,mostly leaves him shooting blanks 
64058,i do nt blame eddie murphy but should nt owen wilson know a movie must have a story and a script  
64059,graceful  moving 
64060,it s not just a feelgood movie 
64061,belly laughs  including a knockout of a closing line  
64062,s a compelling and horrifying story 
64063,maudlin as any afterschool special you can imagine 
64064,suffers from a paunchy midsection  several plodding action sequences and a wickedly undramatic central theme 
64065,like a tarantino movie with heart  alias betty is richly detailed  deftly executed and utterly absorbing  
64066,highly uneven and inconsistent  
